Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Décolleté donna in camoscio bordo x5318w,x5318w,donna,decollete,decollete,bordo,124.0,155.0,20.0,Melluso
Décolleté donna in camoscio blu navy x5318w,x5318w,donna,decollete,decollete,navy,124.0,155.0,20.0,Melluso
Décolleté donna in pelle marrone x5318w,x5318w,donna,decollete,decollete,marrone,124.0,155.0,20.0,Melluso
Mocassino donna in camoscio nero x5320w,x5320w,donna,decollete,mocassino,nero,124.0,155.0,20.0,Melluso
Mocassino donna in camoscio bordo x5320w,x5320w,donna,decollete,mocassino,bordo,124.0,155.0,20.0,Melluso
Mocassino donna in camoscio grigio x5320w,x5320w,donna,decollete,mocassino,grigio,124.0,155.0,20.0,Melluso
Mocassino donna in pelle nero x5320w,x5320w,donna,decollete,mocassino,nero,124.0,155.0,20.0,Melluso
Décolleté donna in pelle nero 055004,055004,donna,decollete,decollete,nero,79.92,99.9,20.000000000000004,Melluso
Décolleté donna in pelle nero d100z,d100z,donna,decollete,decollete,nero,129.9,129.9,0.0,Melluso
Décolleté donna in pelle blu notte d100z,d100z,donna,decollete,decollete,notte,129.9,129.9,0.0,Melluso
Décolleté donna in camoscio blu abyss d110z,d110z,donna,decollete,decollete,abyss,129.9,129.9,0.0,Melluso
Décolleté donna in camoscio fondotinta d110z,d110z,donna,decollete,decollete,fondotinta,129.9,129.9,0.0,Melluso
Décolleté donna in pelle abyss d110z,d110z,donna,decollete,decollete,abyss,129.9,129.9,0.0,Melluso
Décolleté donna in camoscio blu notte d116z,d116z,donna,decollete,decollete,notte,90.93,129.9,30.0,Melluso
Décolleté donna  in pelle nero d160zv,d160zv,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle blu abyss d160zv,d160zv,donna,decollete,decollete,abyss,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle platino d160w,d160w,donna,decollete,decollete,platino,149.9,69.9,-114.4492131616595,Melluso
Décolleté donna  in pelle nude d160w,d160w,donna,decollete,decollete,nude,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle blu abyss d160zv,d160zv,donna,decollete,decollete,abyss,149.9,69.9,-114.4492131616595,Melluso
Décolleté donna  in pelle lilla d160zv,d160zv,donna,decollete,decollete,lilla,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in tessuto rosa phard d165z,d165z,donna,decollete,decollete,phard,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in pelle wash platino d165z,d165z,donna,decollete,decollete,platino,149.9,79.9,-87.60951188986232,Melluso
Décolleté donna slingback in tessuto platino d165z,d165z,donna,decollete,decollete,platino,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in tessuto argento d165z,d165z,donna,decollete,decollete,argento,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in tessuto blu notte d165z,d165z,donna,decollete,decollete,notte,149.9,79.9,-87.60951188986232,Melluso
Décolleté donna slingback in pelle rosa contour d165zv,d165zv,donna,decollete,decollete,contour,104.93,149.9,30.0,Melluso
Décolleté donna slingback in pelle argento d166z,d166z,donna,decollete,decollete,argento,139.9,89.9,-55.61735261401557,Melluso
Décolleté donna slingback in pelle nappetta nero d166z,d166z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle carne d166z,d166z,donna,decollete,decollete,carne,149.9,69.9,-114.4492131616595,Melluso
Décolleté donna slingback in pelle verlux nero d166z,d166z,donna,decollete,decollete,nero,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in pelle bianco d166z,d166z,donna,decollete,decollete,bianco,149.9,79.9,-87.60951188986232,Melluso
Décolleté donna slingback in tessuto galassia blu notte d168zv,d168zv,donna,decollete,decollete,notte,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in pelle milk d168zv,d168zv,donna,decollete,decollete,milk,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in tessuto argento d168zv,d168zv,donna,decollete,decollete,argento,149.9,69.9,-114.4492131616595,Melluso
Décolleté donna slingback in pelle blu notte d168zv,d168zv,donna,decollete,decollete,notte,149.9,69.9,-114.4492131616595,Melluso
Décolleté donna slingback in pelle nude d168zv,d168zv,donna,decollete,decollete,nude,149.9,79.9,-87.60951188986232,Melluso
Décolleté donna slingback in pelle nero d168zv,d168zv,donna,decollete,decollete,nero,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in pelle platino d168zv,d168zv,donna,decollete,decollete,platino,149.9,69.9,-114.4492131616595,Melluso
Décolleté donna slingback in pelle blu abyss d168zv,d168zv,donna,decollete,decollete,abyss,104.93,149.9,30.0,Melluso
Décolleté donna slingback in tessuto platino d168zv,d168zv,donna,decollete,decollete,platino,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna in tessuto platino e1301z,e1301z,donna,decollete,decollete,platino,139.9,79.9,-75.09386733416771,Melluso
Décolleté donna in tessuto argento e1301z,e1301z,donna,decollete,decollete,argento,139.9,139.9,0.0,Melluso
Décolleté donna in tessuto blu notte e1301z,e1301z,donna,decollete,decollete,notte,139.9,79.9,-75.09386733416771,Melluso
Décolleté slingback donna in pelle nero e1301z,e1301z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna cinturino incrociato in tessuto pelle nude e1631zv,e1631zv,donna,decollete,decollete,nude,143.91,159.9,10.000000000000005,Melluso
Décolleté donna cinturino incrociato in pelle nero e1631zv,e1631zv,donna,decollete,decollete,nero,143.91,159.9,10.000000000000005,Melluso
Décolleté donna cinturino incrociato in tessuto galassia argento e1631zv,e1631zv,donna,decollete,decollete,argento,143.91,159.9,10.000000000000005,Melluso
Décolleté donna in pelle blu abyss d175z,d175z,donna,decollete,decollete,abyss,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle nero d179z,d179z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna in pelle beige kiss d179z,d179z,donna,decollete,decollete,kiss,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle bianco milk d179z,d179z,donna,decollete,decollete,milk,139.9,139.9,0.0,Melluso
Décolleté donna cinturino incrociato in tessuto pelle wash platino e1631zv,e1631zv,donna,decollete,decollete,platino,152.91,169.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle rosa contour e1634zv,e1634zv,donna,decollete,decollete,contour,152.91,169.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle blu abyss e1634zv,e1634zv,donna,decollete,decollete,abyss,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in tessuto galassia platino e1634zv,e1634zv,donna,decollete,decollete,platino,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle wash argento e1634zv,e1634zv,donna,decollete,decollete,argento,152.91,169.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle platino e1634zv,e1634zv,donna,decollete,decollete,platino,152.91,169.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle nero e1634zv,e1634zv,donna,decollete,decollete,nero,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in tessuto galassia notte e1634zv,e1634zv,donna,decollete,decollete,notte,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle milk e1634zv,e1634zv,donna,decollete,decollete,milk,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle nude e1634zv,e1634zv,donna,decollete,decollete,nude,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle rosa glicine e1634zv,e1634zv,donna,decollete,decollete,glicine,118.93,169.9,30.0,Melluso
Décolleté donna slingback in pelle harrods blu abyss e1634zv,e1634zv,donna,decollete,decollete,abyss,111.93,159.9,30.0,Melluso
Décolleté donna slingback in pelle verde acid e1634zv,e1634zv,donna,decollete,decollete,acid,118.93,169.9,30.0,Melluso
Décolleté donna slingback in tessuto azzurro cielo e1634w,e1634w,donna,decollete,decollete,cielo,111.93,159.9,30.0,Melluso
Décolleté donna slingback in pelle platino d166z,d166z,donna,decollete,decollete,platino,139.9,89.9,-55.61735261401557,Melluso
Décolleté donna in harrods viola d5186w,d5186w,donna,decollete,decollete,viola,134.91,149.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle blu abyss d165zv,d165zv,donna,decollete,decollete,abyss,149.9,79.9,-87.60951188986232,Melluso
Décolleté donna slingback in pelle wash abyss d166z,d166z,donna,decollete,decollete,abyss,139.9,79.9,-75.09386733416771,Melluso
Décolleté donna in pelle nude e1301z,e1301z,donna,decollete,decollete,nude,139.9,89.9,-55.61735261401557,Melluso
Décolleté donna aperto ai lati in tessuto galassia argento e1630zv,e1630zv,donna,decollete,decollete,argento,159.9,79.9,-100.12515644555693,Melluso
Décolleté donna aperto ai lati in tessuto galassia platino e1630zv,e1630zv,donna,decollete,decollete,platino,159.9,79.9,-100.12515644555693,Melluso
Décolleté donna aperto ai lati in tessuto galassia notte e1630zv,e1630zv,donna,decollete,decollete,notte,159.9,79.9,-100.12515644555693,Melluso
Décolleté donna aperto ai lati in tessuto galassia phard e1630zv,e1630zv,donna,decollete,decollete,phard,159.9,79.9,-100.12515644555693,Melluso
Décolleté donna slingback in pelle nappetta blu abyss d166z,d166z,donna,decollete,decollete,abyss,139.9,139.9,0.0,Melluso
Décolleté donna in pelle blu notte d5173w,d5173w,donna,decollete,decollete,notte,125.91,139.9,10.000000000000005,Melluso
Décolleté donna in camoscio sella d5185w,d5185w,donna,decollete,decollete,sella,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle cipria e5115w,e5115w,donna,decollete,decollete,cipria,135.92,169.9,20.00000000000001,Melluso
Décolleté donna in camoscio nero x5222,x5222,donna,decollete,decollete,nero,116.0,145.0,20.0,Melluso
Décolleté donna in pelle moro r35108w,r35108w,donna,decollete,decollete,moro,119.92,149.9,20.0,Melluso
Décolleté donna in camoscio nero d5096w,d5096w,donna,decollete,decollete,nero,116.91,129.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle fondotinta d166z,d166z,donna,decollete,decollete,fondotinta,139.9,69.9,-100.14306151645206,Melluso
Décolleté donna  in pelle nude d160zv,d160zv,donna,decollete,decollete,nude,149.9,149.9,0.0,Melluso
Décolleté donna in pelle cipria e5143w,e5143w,donna,decollete,decollete,cipria,127.92,159.9,20.0,Melluso
Décolleté donna in pelle milk v5342,v5342,donna,decollete,decollete,milk,119.92,149.9,20.0,Melluso
Décolleté donna in pelle nero d5186w,d5186w,donna,decollete,decollete,nero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna slingback in tessuto galassia argento e1634zv,e1634zv,donna,decollete,decollete,argento,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in pelle bianco e1634zv,e1634zv,donna,decollete,decollete,bianco,143.91,159.9,10.000000000000005,Melluso
Décolleté donna in pelle cipria e5138g,e5138g,donna,decollete,decollete,cipria,143.92,179.9,20.00000000000001,Melluso
Décolleté donna in pelle cipria d5186w,d5186w,donna,decollete,decollete,cipria,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle blu notte d5072w,d5072w,donna,decollete,decollete,notte,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in pelle nero d5125w,d5125w,donna,decollete,decollete,nero,125.91,139.9,10.000000000000005,Melluso
Décolleté donna con cinturino in pelle nero d5126w,d5126w,donna,decollete,decollete,nero,125.91,139.9,10.000000000000005,Melluso
Décolleté donna aperto ai lati in pelle nero e5133,e5133,donna,decollete,decollete,nero,132.0,165.0,20.0,Melluso
Décolleté donna in pelle nero e5138g,e5138g,donna,decollete,decollete,nero,143.92,179.9,20.00000000000001,Melluso
Décolleté donna slingback in tessuto galassia rosa e1634zv,e1634zv,donna,decollete,decollete,rosa,143.91,159.9,10.000000000000005,Melluso
Décolleté donna slingback in tessuto argento d188,d188,donna,decollete,decollete,argento,149.9,89.9,-66.74082313681868,Melluso
Décolleté donna slingback in pelle platino d192,d192,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna in pelle cipria d5176w,d5176w,donna,decollete,decollete,cipria,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle nero k55233w,k55233w,donna,decollete,decollete,nero,71.92,89.9,20.000000000000004,Melluso
Décolleté donna  in camoscio marrone x5100w,x5100w,donna,decollete,decollete,marrone,116.0,145.0,20.0,Melluso
Décolleté donna in pelle nero d5176w,d5176w,donna,decollete,decollete,nero,134.91,149.9,10.000000000000005,Melluso
Mocassino donna in camoscio blu notte x5320w,x5320w,donna,decollete,mocassino,notte,124.0,155.0,20.0,Melluso
Sneakers donna in camoscio blu navy r25656w,r25656w,donna,sneakers,sneakers,navy,124.0,155.0,20.0,Melluso
Sneakers donna in camoscio e pelle blu r25542w,r25542w,donna,sneakers,sneakers,blu,119.92,149.9,20.0,Melluso
Sneakers donna in pelle nero r25550w,r25550w,donna,sneakers,sneakers,nero,119.92,149.9,20.0,Melluso
Sneakers mocassino donna in pelle latte r20088,r20088,donna,sneakers,sneakers,latte,159.9,159.9,0.0,Melluso
Sneakers in pelle e camoscio nero r25549w,r25549w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in camoscio e pelle beige daino r25731w,r25731w,donna,sneakers,sneakers,daino,132.0,165.0,20.0,Melluso
Sneakers in pelle e camoscio beige coco r25549w,r25549w,donna,sneakers,sneakers,coco,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e camoscio nero k55441,k55441,donna,sneakers,sneakers,nero,79.92,99.9,20.000000000000004,Melluso
Sneakers donna in pelle e camoscio topo r25552,r25552,donna,sneakers,sneakers,topo,132.0,165.0,20.0,Melluso
Sneakers donna in pelle nero k55439,k55439,donna,sneakers,sneakers,nero,79.92,99.9,20.000000000000004,Melluso
Sneakers donna in vernice e camoscio taope k55438,k55438,donna,sneakers,sneakers,taope,87.92,109.9,20.000000000000004,Melluso
Sneakers donna in vernice e camoscio beige k55441,k55441,donna,sneakers,sneakers,beige,79.92,99.9,20.000000000000004,Melluso
Sneakers donna in camoscio sigaro k35314,k35314,donna,sneakers,sneakers,sigaro,103.92,129.9,20.0,Melluso
Sneakers donna in vernice nero k35314,k35314,donna,sneakers,sneakers,nero,103.92,129.9,20.0,Melluso
Sneakers donna in vernice e camoscio nero k55438,k55438,donna,sneakers,sneakers,nero,87.92,109.9,20.000000000000004,Melluso
Sneakers donna in camoscio e pelle nero r25731w,r25731w,donna,sneakers,sneakers,nero,132.0,165.0,20.0,Melluso
Sneakers donna in vernice acero r25656w,r25656w,donna,sneakers,sneakers,acero,127.92,159.9,20.0,Melluso
Sneakers donna in pelle e camoscio blu navy r25655w,r25655w,donna,sneakers,sneakers,navy,127.92,159.9,20.0,Melluso
Sneakers donna in pelle e camoscio marrone r25655w,r25655w,donna,sneakers,sneakers,marrone,127.92,159.9,20.0,Melluso
Sneakers donna in pelle e camoscio topo r25655w,r25655w,donna,sneakers,sneakers,topo,127.92,159.9,20.0,Melluso
Sneakers donna in pelle e camoscio nero r25655w,r25655w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in camoscio marrone r25653w,r25653w,donna,sneakers,sneakers,marrone,124.0,155.0,20.0,Melluso
Sneakers donna in camoscio nero r25653w,r25653w,donna,sneakers,sneakers,nero,124.0,155.0,20.0,Melluso
Sneakers donna in vernice e pelle nero r25643w,r25643w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e camoscio bordo r25642w,r25642w,donna,sneakers,sneakers,bordo,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e camoscio nero r25642w,r25642w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e camoscio marrone r25642w,r25642w,donna,sneakers,sneakers,marrone,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e pelle nero r25641w,r25641w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e camoscio moro r25641w,r25641w,donna,sneakers,sneakers,moro,127.92,159.9,20.0,Melluso
Sneakers donna in pelle cuoio r25634w,r25634w,donna,sneakers,sneakers,cuoio,127.92,159.9,20.0,Melluso
Sneakers donna in camoscio topo r25634w,r25634w,donna,sneakers,sneakers,topo,127.92,159.9,20.0,Melluso
Sneakers donna in pelle nero r25634w,r25634w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in vernice nero r25625w,r25625w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in pelle nero r25625w,r25625w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in camoscio nero r25625w,r25625w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in camoscio blu navy r25625w,r25625w,donna,sneakers,sneakers,navy,127.92,159.9,20.0,Melluso
Sneakers donna in pelle e camoscio beige r25551w,r25551w,donna,sneakers,sneakers,beige,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e pelle beige r25545w,r25545w,donna,sneakers,sneakers,beige,127.92,159.9,20.0,Melluso
Sneakers donna in vernice e pelle nero r25545w,r25545w,donna,sneakers,sneakers,nero,127.92,159.9,20.0,Melluso
Sneakers donna in camoscio e pelle beige r25542w,r25542w,donna,sneakers,sneakers,beige,119.92,149.9,20.0,Melluso
Sneakers donna in camoscio verde r25656w,r25656w,donna,sneakers,sneakers,verde,124.0,155.0,20.0,Melluso
Sneakers donna in camoscio bordo r25656w,r25656w,donna,sneakers,sneakers,bordo,124.0,155.0,20.0,Melluso
Sneakers donna in camoscio topo r25656w,r25656w,donna,sneakers,sneakers,topo,124.0,155.0,20.0,Melluso
Sneakers donna in pelle e camoscio nero r25552,r25552,donna,sneakers,sneakers,nero,132.0,165.0,20.0,Melluso
Sneakers donna in camoscio topo r25625w,r25625w,donna,sneakers,sneakers,topo,127.92,159.9,20.0,Melluso
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0,0.0,Melluso
Décolleté donna in vernice beige v5720w,v5720w,donna,donna-mocassini,decollete,beige,124.0,155.0,20.0,Melluso
Décolleté donna in vernice verde petrolio v5720w,v5720w,donna,donna-mocassini,decollete,petrolio,108.5,155.0,30.0,Melluso
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0,0.0,Melluso
Mocassino allacciato donna in pelle  nero r35503w,r35503w,donna,donna-mocassini,mocassino,nero,119.92,149.9,20.0,Melluso
Mocassino allacciato donna in vernice nero r35503w,r35503w,donna,donna-mocassini,mocassino,nero,119.92,149.9,20.0,Melluso
Mocassino donna allacciato derby in pelle cuoio 034316w,034316w,donna,donna-mocassini,mocassino,cuoio,111.92,139.9,20.0,Melluso
Mocassino donna allacciato derby in pelle marrone 034316w,034316w,donna,donna-mocassini,mocassino,marrone,111.92,139.9,20.0,Melluso
Mocassino donna allacciato derby in pelle nero 034316w,034316w,donna,donna-mocassini,mocassino,nero,111.92,139.9,20.0,Melluso
Mocassino donna comodo in camoscio beige r30618z,r30618z,donna,donna-mocassini,mocassino,beige,139.9,139.9,0.0,Melluso
Mocassino donna in camoscio blu navy r35512w,r35512w,donna,donna-mocassini,mocassino,navy,116.0,145.0,20.0,Melluso
Mocassino donna in camoscio blu navy r35738w,r35738w,donna,donna-mocassini,mocassino,navy,124.0,155.0,20.0,Melluso
